Mon Dec 30 23:47:50 +0000 2019,SoniaRo59106523,"Puerto Rico, USA",209,364,False,,0,0,b'RT @seavoicenews: Easily one of the craziest story of the year!\n\nhttps://t.co/RDqcvuiAYx'
Mon Dec 30 23:47:31 +0000 2019,terrysalt,,320,1093,False,,0,2,"b""@BramblesCaptain @betzva @Claire_Voltaire No, you see it's SPELLED Terrence, but it's pronounced Throatwobbler Mangrove. Truly a SameSide name if ever I heard one!"""
Mon Dec 30 23:36:35 +0000 2019,LanangSudira1,"Bali, Indonesia",824,5000,False,,0,0,"b'Let the past be a memory and experience, bacause the future is still waiting for our struggle and stability to continue to strive to preserve the mangrove forests in Indonesia.\n""Happy New Year 2029""!\n#HappyNewYear2020\n#SaveMangrove\xf0\x9f\x8c\xb1 \n#SaveEarth\xf0\x9f\x8c\x8f https://t.co/lRGHpaaPbh'"
Mon Dec 30 23:36:35 +0000 2019,apoxalyps1,A Pacific Northwest rainforest,3400,4197,False,,0,0,b'RT @WorldviewInt: 5 reasons to protect mangrove forests for the future\nhttps://t.co/g63SStDb36\n1. They are a natural coastal defence\n2. The\xe2\x80\xa6'
Mon Dec 30 22:27:59 +0000 2019,nanogrupo,"Salvador, Bahia, Brazil",4722,731,False,,0,0,b'RT @PNASNews: Large mangrove belts could mitigate negative economic impacts of hurricanes in Central American coastal areas. In PNAS: https\xe2\x80\xa6'
Mon Dec 30 22:26:04 +0000 2019,JeaneneHyles,Australia,665,881,False,,0,0,"b'RT @timritchie: I\xe2\x80\x99m at Orient Point looking across the Crookhaven River to Apple Tree Orchard Island, with Mangrove Island behind it.\nIdyll\xe2\x80\xa6'"
Mon Dec 30 22:21:23 +0000 2019,TGF_William,"Washington, USA",208,358,False,,0,0,"b'but perhaps because the water came to them by way of the sundri leaves and mangrove branches and nipa fronds, it acquired on its journey something of the insanity of the jungle,'"
Mon Dec 30 22:20:05 +0000 2019,Gosford1Au,,1051,984,False,,0,0,"b'For sale at Mangrove Mountain, NSW: 7 Bedrooms 3 Bathrooms &amp; 3 Carports Space. Visit Gosford Beach Business Listing https://t.co/LO8VxvgVQw for more Gosford Real Estate, Local Deals and Events \n#gosford #gosfordrealestate #gosfordproperty #realty #localiq #nsw'"
Mon Dec 30 22:07:23 +0000 2019,Alissa_Moen,"Sydney, New South Wales",503,4965,False,,0,0,"b'RT @timritchie: I\xe2\x80\x99m at Orient Point looking across the Crookhaven River to Apple Tree Orchard Island, with Mangrove Island behind it.\nIdyll\xe2\x80\xa6'"
Mon Dec 30 22:06:42 +0000 2019,slugsnshells,"Honolulu, HI",111,202,False,,2,14,"b'2019 was a big year for mangrove slugs! 8 new species of onchidiid slug described from 4 genera, and 2 of these are new genera! More onchidiid papers (and more photos of slugs in the field!) coming in 2020! #MolluscMonday Happy New Year! https://t.co/FQGuBhtkwX'"
